trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.8, 'e': 0.6491026283684022}",20,0,-116.63924465415465,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.8, 'e': 0.6426116020847181}",25,3,-137.31404892031108,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 3}",1
44,False,"{'a': 0.8, 'e': 0.6361854860638709}",25,0,-179.1789992475122,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
45,False,"{'a': 0.8, 'e': 0.6298236312032323}",20,9,-14.622530840062568,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.6235253948912}",20,0,-127.65522261000457,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.8, 'e': 0.617290140942288}",20,0,-102.13174282138677,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.8, 'e': 0.6111172395328651}",25,0,-53.67479032219672,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.6050060671375365}",25,0,-124.7507828341722,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
50,False,"{'a': 0.8, 'e': 0.5989560064661611}",20,8,-84.87974214101298,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 1}",1
51,False,"{'a': 0.8, 'e': 0.5929664464014994}",20,0,-9.291859131383987,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.5870367819374844}",25,6,-16.917151789073237,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.5811664141181095}",20,4,-109.08453111465914,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
54,False,"{'a': 0.8, 'e': 0.5753547499769285}",20,0,-103.09795333807982,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.8, 'e': 0.5696012024771592}",20,9,-120.00422354104846,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
56,False,"{'a': 0.8, 'e': 0.5639051904523876}",25,0,-73.27535245931968,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.5582661385478638}",20,0,-34.24303110865843,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.8, 'e': 0.5526834771623851}",20,0,-21.177562812624945,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.5471566423907612}",20,8,5.535208627094532,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.5416850759668536}",20,14,9.417912149149746,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.536268225207185}",20,0,-23.567651107081826,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.8, 'e': 0.5309055429551132}",25,12,-2.4118142545658774,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.525596487525562}",20,9,-59.66985988864094,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.8, 'e': 0.5203405226503064}",20,0,-35.512365984052266,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.8, 'e': 0.5151371174238033}",20,0,-59.44366343524973,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.5099857462495653}",20,0,-85.28021485852153,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.8, 'e': 0.5048858887870696}",20,7,11.9013495332251,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.4998370298991989}",20,0,-33.508284692325695,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.49483865960020695}",20,12,13.413003753508296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.4898902730042049}",25,1,-2.67267779887764,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.48499137027416284}",20,8,9.561734256657214,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.4801414565714212}",25,0,-99.5548578891333,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
73,False,"{'a': 0.8, 'e': 0.475340042005707}",25,0,-41.20648421058138,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.8, 'e': 0.47058664158564995}",20,0,-108.15225241932018,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
75,False,"{'a': 0.8, 'e': 0.4658807751697934}",20,0,-86.83639074222692,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
76,False,"{'a': 0.8, 'e': 0.4612219674180955}",20,4,-6.33010259785172,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.45660974774391455}",20,0,-108.99205368285479,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
78,False,"{'a': 0.8, 'e': 0.4520436502664754}",25,12,-41.53114979353736,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.8, 'e': 0.44752321376381066}",25,8,4.4125744193887515,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.44304798162617254}",20,0,-95.39235214127801,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.8, 'e': 0.4386175018099108}",20,0,-90.10067333833732,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
82,False,"{'a': 0.8, 'e': 0.4342313267918117}",20,4,-52.66292882513969,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.4298890135238936}",20,3,-37.256273970657176,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.8, 'e': 0.42559012338865465}",20,9,-83.79481793308305,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 2}",1
85,False,"{'a': 0.8, 'e': 0.4213342221547681}",20,0,-39.367580972544324,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.8, 'e': 0.41712087993322045}",20,5,-64.40798973580735,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.41294967113388825}",25,0,-58.01957256532138,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.8, 'e': 0.40882017442254937}",20,0,3.749848850669439,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.8, 'e': 0.4047319726783239}",25,8,-92.88683301080829,"{0: 12, 1: 0, 2: 1, 3: 3, 4: 1}",1
90,False,"{'a': 0.8, 'e': 0.40068465295154065}",20,0,-17.112226676665916,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.8, 'e': 0.39667780642202527}",20,7,10.528516654709511,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.392711028357805}",20,0,-2.4151572329045905,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.8, 'e': 0.38878391807422696}",25,17,15.191053368942677,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.3848960788934847}",25,12,-5.6224125422229,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.38104711810454983}",20,0,8.202300251959056,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.37723664692350434}",20,8,-6.0620197793153165,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.37346428045426927}",25,0,-66.55666815424247,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
98,False,"{'a': 0.8, 'e': 0.36972963764972655}",20,3,-92.58224876517475,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
99,False,"{'a': 0.8, 'e': 0.36603234127322926}",25,11,-0.34389196322158,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.36237201786049694}",20,7,-81.70667396070044,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
101,False,"{'a': 0.8, 'e': 0.358748297681892}",20,0,-31.912545425985385,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.8, 'e': 0.35516081470507305}",25,0,-79.62482629251024,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.8, 'e': 0.3516092065580223}",20,0,-26.80403053401898,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.8, 'e': 0.34809311449244207}",20,0,-50.76454648006764,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.8, 'e': 0.34461218334751764}",20,14,-31.109842332253987,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.8, 'e': 0.34116606151404244}",25,9,-75.86474879719432,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
107,False,"{'a': 0.8, 'e': 0.337754400898902}",20,0,2.3880015643050205,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.8, 'e': 0.334376856889913}",20,10,-19.095781827204576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.8, 'e': 0.33103308832101386}",20,0,-15.44951878062391,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.8, 'e': 0.3277227574378037}",25,0,-13.493878499017159,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.8, 'e': 0.3244455298634257}",20,5,-33.915877269648945,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.3212010745647914}",20,1,-110.40863847509587,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 2}",1
113,False,"{'a': 0.8, 'e': 0.3179890638191435}",20,0,-11.357329895817838,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.8, 'e': 0.31480917318095203}",20,12,-19.141782897424093,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.8, 'e': 0.3116610814491425}",20,9,17.44566240498406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.30854447063465107}",25,0,-70.79346183963543,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.8, 'e': 0.30545902592830454}",20,7,-21.438251716299057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.8, 'e': 0.3024044356690215}",20,11,-6.485740234839759,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.29938039131233124}",20,0,-24.164292915380432,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.8, 'e': 0.2963865873992079}",25,13,21.09233797979202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.29342272152521587}",20,0,-37.79747443078165,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.8, 'e': 0.2904884943099637}",25,0,-64.90741975809057,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.8, 'e': 0.28758360936686406}",20,8,10.696484656111277,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.2847077732731954}",25,2,-5.997019937851098,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.8, 'e': 0.28186069554046345}",20,9,19.97269250565659,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.2790420885850588}",20,0,-26.567884810753117,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
127,False,"{'a': 0.8, 'e': 0.2762516676992082}",20,1,9.788554505280818,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.27348915102221616}",20,0,-62.52497557390096,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
129,False,"{'a': 0.8, 'e': 0.270754259511994}",20,8,-20.460970359433908,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.26804671691687404}",20,8,9.548523884261463,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.2653662497477053}",20,0,-15.474812213384821,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
132,False,"{'a': 0.8, 'e': 0.2627125872502282}",20,0,-34.888797328967264,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.8, 'e': 0.2600854613777259}",25,0,-73.76433267853675,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
134,False,"{'a': 0.8, 'e': 0.2574846067639487}",20,1,-65.3270477387254,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 1}",1
135,False,"{'a': 0.8, 'e': 0.2549097606963092}",20,7,-48.90090570638025,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
136,False,"{'a': 0.8, 'e': 0.2523606630893461}",20,12,-33.60658476125113,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.8, 'e': 0.24983705645845267}",25,0,-51.443797979365826,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.8, 'e': 0.24733868589386815}",20,6,-6.051104796408419,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.24486529903492946}",20,14,-3.2502318983923857,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.24241664604458016}",20,13,-10.284517911757545,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.23999247958413436}",20,10,20.03896394419032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.23759255478829303}",20,0,-13.246001897358234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
143,False,"{'a': 0.8, 'e': 0.2352166292404101}",25,13,21.13951532198208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.232864462948006}",25,9,13.242977745279596,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.23053581831852593}",20,10,-2.8887492018211436,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.22823046013534068}",25,11,0.0611697286285271,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.22594815553398728}",25,8,-3.681736658598993,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.22368867397864742}",20,0,-131.02265037991324,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
149,False,"{'a': 0.8, 'e': 0.22145178723886094}",20,16,8.418037744978813,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.21923726936647234}",20,9,22.178333075767146,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.2170448966728076}",20,0,6.655720414316682,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
152,False,"{'a': 0.8, 'e': 0.21487444770607952}",20,13,2.1872793670729753,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.21272570322901874}",20,0,3.3547769338870688,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
154,False,"{'a': 0.8, 'e': 0.21059844619672854}",20,11,-1.3180291578688668,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.20849246173476127}",20,15,-13.088527302205192,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.20640753711741366}",25,0,14.695492745794008,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.8, 'e': 0.20434346174623952}",25,14,-21.448926906802363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.8, 'e': 0.20230002712877712}",20,4,13.075221827741046,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.20027702685748935}",20,10,-1.248702659576197,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.19827425658891445}",20,13,-30.25584234214846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.8, 'e': 0.1962915140230253}",20,5,10.890052266257007,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.19432859888279505}",20,13,13.468864555430013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
